Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity
21/01/2019 18:45:51.488,0.01280642,adaptation,0.01280642,none,0,1
21/01/2019 18:45:51.493,0.01873875,adaptation,0.01873875,none,0,1
21/01/2019 18:45:51.503,0.0287509,adaptation,0.0287509,none,0,1
21/01/2019 18:45:51.520,0.04536104,adaptation,0.04536104,none,0,1
21/01/2019 18:45:51.536,0.0619235,adaptation,0.0619235,none,0,1
21/01/2019 18:45:51.553,0.07845449,adaptation,0.07845449,none,0,1
21/01/2019 18:45:51.569,0.09501743,adaptation,0.09501743,none,0,1
21/01/2019 18:45:51.587,0.1123347,adaptation,0.1123347,none,0,1
21/01/2019 18:45:51.603,0.1283207,adaptation,0.1283207,none,0,1
21/01/2019 18:45:51.619,0.1447239,adaptation,0.1447239,none,0,1
21/01/2019 18:45:51.636,0.1613212,adaptation,0.1613212,none,0,1
21/01/2019 18:45:51.652,0.1778841,adaptation,0.1778841,none,0,1
21/01/2019 18:45:51.669,0.1944203,adaptation,0.1944203,none,0,1
21/01/2019 18:45:51.686,0.2112675,adaptation,0.2112675,none,0,1
21/01/2019 18:45:51.702,0.2275553,adaptation,0.2275553,none,0,1
21/01/2019 18:45:51.719,0.2442412,adaptation,0.2442412,none,0,1
21/01/2019 18:45:51.735,0.260705,adaptation,0.260705,none,0,1
21/01/2019 18:45:51.752,0.2772532,adaptation,0.2772532,none,0,1
21/01/2019 18:45:51.769,0.2942152,adaptation,0.2942152,none,0,1
21/01/2019 18:45:51.785,0.3104029,adaptation,0.3104029,none,0,1
21/01/2019 18:45:51.802,0.3272195,adaptation,0.3272195,none,0,1
21/01/2019 18:45:51.819,0.344192,adaptation,0.344192,none,0,1
21/01/2019 18:45:51.835,0.3601856,adaptation,0.3601856,none,0,1
21/01/2019 18:45:51.852,0.3771787,adaptation,0.3771787,none,0,1
21/01/2019 18:45:51.868,0.3932238,adaptation,0.3932238,none,0,1
21/01/2019 18:45:51.885,0.4101572,adaptation,0.4101572,none,0,1
21/01/2019 18:45:51.901,0.426352,adaptation,0.426352,none,0,1
21/01/2019 18:45:51.918,0.4431505,adaptation,0.4431505,none,0,1
21/01/2019 18:45:51.934,0.4594879,adaptation,0.4594879,none,0,1
21/01/2019 18:45:51.951,0.4761033,adaptation,0.4761033,none,0,1
21/01/2019 18:45:51.967,0.4926462,adaptation,0.4926462,none,0,1
21/01/2019 18:45:51.984,0.5091872,adaptation,0.5091872,none,0,1
21/01/2019 18:45:52.001,0.5260892,adaptation,0.5260892,none,0,1
21/01/2019 18:45:52.017,0.5423346,adaptation,0.5423346,none,0,1
21/01/2019 18:45:52.034,0.5590692,adaptation,0.5590692,none,0,1
21/01/2019 18:45:52.051,0.5760608,adaptation,0.5760608,none,0,1
21/01/2019 18:45:52.067,0.5920496,adaptation,0.5920496,none,0,1
21/01/2019 18:45:52.084,0.6090488,adaptation,0.6090488,none,0,1
21/01/2019 18:45:52.100,0.6251922,adaptation,0.6251922,none,0,1
21/01/2019 18:45:52.117,0.6420369,adaptation,0.6420369,none,0,1
21/01/2019 18:45:52.133,0.6582923,adaptation,0.6582923,none,0,1
21/01/2019 18:45:52.150,0.6748886,adaptation,0.6748886,none,0,1
21/01/2019 18:45:52.166,0.6914258,adaptation,0.6914258,none,0,1
21/01/2019 18:45:52.183,0.708005,adaptation,0.708005,none,0,1
21/01/2019 18:45:52.200,0.7251759,adaptation,0.7251759,none,0,1
21/01/2019 18:45:52.216,0.7411833,adaptation,0.7411833,none,0,1
21/01/2019 18:45:52.233,0.7581654,adaptation,0.7581654,none,0,1
21/01/2019 18:45:52.250,0.7751527,adaptation,0.7751527,none,0,1
21/01/2019 18:45:52.266,0.7911382,adaptation,0.7911382,none,0,1
21/01/2019 18:45:52.282,0.8073945,adaptation,0.8073945,none,0,1
21/01/2019 18:45:52.299,0.8241134,adaptation,0.8241134,none,0,1
21/01/2019 18:45:52.315,0.8405533,adaptation,0.8405533,none,0,1
21/01/2019 18:45:52.332,0.8571525,adaptation,0.8571525,none,0,1
21/01/2019 18:45:52.349,0.8741322,adaptation,0.8741322,none,0,1
21/01/2019 18:45:52.365,0.890224,adaptation,0.890224,none,0,1
21/01/2019 18:45:52.382,0.9071345,adaptation,0.9071345,none,0,1
21/01/2019 18:45:52.398,0.9233541,adaptation,0.9233541,none,0,1
21/01/2019 18:45:52.415,0.9400797,adaptation,0.9400797,none,0,1
21/01/2019 18:45:52.431,0.9564877,adaptation,0.9564877,none,0,1
21/01/2019 18:45:52.448,0.9730864,adaptation,0.9730864,none,0,1
21/01/2019 18:45:52.465,0.990068,adaptation,0.990068,none,0,1
21/01/2019 18:45:52.481,1.00619,intervention,0.006189823,decay,0.006189823,0.9504814
21/01/2019 18:45:52.497,1.022769,intervention,0.02276897,decay,0.02276897,0.8178482
21/01/2019 18:45:52.515,1.040052,intervention,0.04005241,decay,0.04005241,0.6795807
21/01/2019 18:45:52.531,1.056033,intervention,0.05603266,decay,0.05603266,0.5517387
21/01/2019 18:45:52.547,1.072469,intervention,0.07246923,decay,0.07246923,0.4202461
21/01/2019 18:45:52.564,1.089093,intervention,0.08909273,decay,0.08909273,0.2872581
21/01/2019 18:45:52.580,1.10562,intervention,0.1056199,decay,0.1056199,0.1550407
21/01/2019 18:45:52.597,1.122251,intervention,0.1222506,decay,0.1222506,0.02199554
21/01/2019 18:45:52.613,1.138752,intervention,0.1387515,sustain low,0.01375151,0
21/01/2019 18:45:52.630,1.155305,intervention,0.1553054,sustain low,0.03030539,0
21/01/2019 18:45:52.646,1.171901,intervention,0.1719012,sustain low,0.04690123,0
21/01/2019 18:45:52.663,1.188452,intervention,0.1884522,sustain low,0.06345224,0
21/01/2019 18:45:52.680,1.205208,intervention,0.2052083,sustain low,0.0802083,0
21/01/2019 18:45:52.696,1.221592,intervention,0.2215919,sustain low,0.09659195,0
21/01/2019 18:45:52.713,1.238238,intervention,0.2382379,sustain low,0.1132379,0
