Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real,
30/01/2019 20:09:27.886,30027,adaptation PE,30027,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:27.981,999426,adaptation PE,999426,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:28.085,2028637,adaptation PE,2028637,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:28.183,3008296,adaptation PE,3008296,none,0,1,5,110,100,Q5,,90,10.13575,
30/01/2019 20:09:28.285,4027732,adaptation PE,4027732,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:28.387,5046902,adaptation PE,5046902,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:28.488,6056550,adaptation PE,6056550,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:28.589,7065760,adaptation PE,7065760,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:28.692,8095371,adaptation PE,8095371,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:28.793,9104596,adaptation PE,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:28.896,10124213,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:28.995,11123432,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:29.102,12173124,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:29.197,13142506,break,9104596,none,0,1,5,110,100,Q5,,90,10.29716,
30/01/2019 20:09:29.301,14182089,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:29.400,15171336,break,9104596,none,0,1,5,110,100,Q5,,90,10.07148,
30/01/2019 20:09:29.503,16200874,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:29.603,17200560,break,9104596,none,0,1,5,110,100,Q5,,90,10.00024,
30/01/2019 20:09:29.706,18228871,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:29.804,19212977,break,9104596,none,0,1,5,110,100,Q5,,90,10.17403,
30/01/2019 20:09:29.907,20237934,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:30.007,21237423,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:30.112,22286882,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:30.208,23246314,break,9104596,none,0,1,5,110,100,Q5,,90,10.1248,
30/01/2019 20:09:30.311,24275637,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:30.411,25275100,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:30.514,26304346,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:30.613,27304027,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:30.716,28333092,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:30.817,29342764,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:30.919,30362190,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:31.019,31357745,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:31.124,32404155,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:31.222,33384683,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:31.322,34394526,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:31.424,35410016,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:31.526,36429466,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:31.626,37428856,break,9104596,none,0,1,5,110,100,Q5,,90,10.02547,
30/01/2019 20:09:31.728,38448283,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:31.828,39447737,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:31.930,40467122,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.031,41486335,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.132,42485971,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.233,43495436,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.334,44504601,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.434,45514285,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.535,46523463,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.636,47532936,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.737,48542308,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.838,49551723,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:32.940,50565355,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.041,51574784,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.141,52584236,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.242,53593421,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.342,54603229,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.445,55622497,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.546,56631894,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.647,57641357,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.748,58651144,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.849,59664180,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:33.950,60673574,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.051,61683047,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.152,62692210,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.253,63701630,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.354,64710979,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.458,65745001,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.556,66734442,break,9104596,none,0,1,5,110,100,Q5,,90,10.07356,
30/01/2019 20:09:34.657,67743663,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.758,68753283,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.861,69782691,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.962,70792291,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.064,71821526,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.166,72825257,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.267,73834930,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.367,74854109,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.468,75863528,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.569,76862992,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.670,77872305,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.771,78881729,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.873,79894947,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.974,80904170,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.075,81933839,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.176,82933265,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.277,83942643,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.378,84952062,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.479,85964070,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.580,86973711,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.681,87983239,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.782,88992554,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.883,90011971,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.985,91015896,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.088,92048954,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.187,93034732,break,9104596,none,0,1,5,110,100,Q5,,90,10.15217,
