Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,FPS target,FPS real
25/01/2019 14:47:17.191,0.01075363,adaptation,0.01075363,none,0,1,5,110,100,90,15.05176
25/01/2019 14:47:17.239,0.05904198,adaptation,0.05904198,none,0,1,5,110,100,90,15.05176
25/01/2019 14:47:17.240,0.06100655,adaptation,0.06100655,none,0,1,5,110,100,90,15.05176
25/01/2019 14:47:17.242,0.06281281,adaptation,0.06281281,none,0,1,5,110,100,90,15.05176
25/01/2019 14:47:17.244,0.06492805,adaptation,0.06492805,none,0,1,5,110,100,90,15.05176
25/01/2019 14:47:17.246,0.06697273,adaptation,0.06697273,none,0,1,5,110,100,90,15.05176
25/01/2019 14:47:17.248,0.06890869,adaptation,0.06890869,none,0,1,5,110,100,90,15.05176
25/01/2019 14:47:17.250,0.07091331,adaptation,0.07091331,none,0,1,5,110,100,90,15.05176
25/01/2019 14:47:17.306,0.1263103,adaptation,0.1263103,none,0,1,5,110,100,90,14.14293
25/01/2019 14:47:17.308,0.1283226,adaptation,0.1283226,none,0,1,5,110,100,90,14.14293
25/01/2019 14:47:17.310,0.1302166,adaptation,0.1302166,none,0,1,5,110,100,90,14.14293
25/01/2019 14:47:17.312,0.1320724,adaptation,0.1320724,none,0,1,5,110,100,90,14.14293
25/01/2019 14:47:17.314,0.1340141,adaptation,0.1340141,none,0,1,5,110,100,90,14.14293
25/01/2019 14:47:17.315,0.1359501,adaptation,0.1359501,none,0,1,5,110,100,90,14.14293
25/01/2019 14:47:17.372,0.1920795,adaptation,0.1920795,none,0,1,5,110,100,90,14.82975
25/01/2019 14:47:17.374,0.1942921,adaptation,0.1942921,none,0,1,5,110,100,90,14.82975
25/01/2019 14:47:17.376,0.1961155,adaptation,0.1961155,none,0,1,5,110,100,90,14.82975
25/01/2019 14:47:17.378,0.1981106,adaptation,0.1981106,none,0,1,5,110,100,90,14.82975
25/01/2019 14:47:17.380,0.2000046,adaptation,0.2000046,none,0,1,5,110,100,90,14.82975
25/01/2019 14:47:17.382,0.2019634,adaptation,0.2019634,none,0,1,5,110,100,90,14.82975
25/01/2019 14:47:17.383,0.2039242,adaptation,0.2039242,none,0,1,5,110,100,90,14.82975
25/01/2019 14:47:17.436,0.2560558,adaptation,0.2560558,none,0,1,5,110,100,90,14.95238
25/01/2019 14:47:17.438,0.2579803,adaptation,0.2579803,none,0,1,5,110,100,90,14.95238
25/01/2019 14:47:17.440,0.2599945,adaptation,0.2599945,none,0,1,5,110,100,90,14.95238
25/01/2019 14:47:17.442,0.2619839,adaptation,0.2619839,none,0,1,5,110,100,90,14.95238
