Time stamp,Experiment time,Phase,Time in Phase,Trial Number,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS real,
31/01/2019 15:45:01.978,0.000998,adaptation PE,0.000998,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:02.070,0.0939266,adaptation PE,0.0939266,0,none,0,1,6,110,100,Q5,,0,10.11698,
31/01/2019 15:45:02.170,0.1938688,adaptation PE,0.1938688,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:02.271,0.2948093,adaptation PE,0.2948093,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:02.374,0.3977504,adaptation PE,0.3977504,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:02.474,0.4976939,adaptation PE,0.4976939,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:02.575,0.5976703,adaptation PE,0.5976703,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:02.676,0.6995786,adaptation PE,0.6995786,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:02.777,0.8003444,adaptation PE,0.8003444,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:02.878,0.9012861,adaptation PE,0.9012861,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:02.980,1.00223,break,0.0042284,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:03.081,1.104171,break,0.1051925,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:03.182,1.204115,break,0.2061134,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:03.283,1.307057,break,0.3080543,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:03.383,1.406998,break,0.4080185,0,none,0,1,6,110,100,Q5,,0,10.00757,
31/01/2019 15:45:03.485,1.50794,break,0.5099592,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:03.587,1.609883,break,0.6108812,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:03.689,1.711939,break,0.7129386,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:03.788,1.811882,break,0.812881,0,none,0,1,6,110,100,Q5,,0,10.00571,
31/01/2019 15:45:03.890,1.913877,break,0.9148762,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:03.991,2.01382,break,1.015818,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:04.091,2.114762,break,1.115761,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:04.192,2.215704,break,1.216704,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:04.294,2.316646,break,1.318645,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:04.394,2.416589,break,1.418588,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:04.496,2.519142,break,1.520141,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:04.596,2.620084,break,1.621083,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:04.697,2.721026,break,1.722026,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:04.798,2.821969,break,1.822968,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:04.899,2.922911,break,1.92391,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:05.001,3.024853,break,2.025852,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:05.102,3.125795,break,2.126794,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:05.203,3.225739,break,2.227737,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:05.304,3.32668,break,2.328679,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:05.408,3.430621,break,2.43162,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:05.507,3.529564,break,2.531563,0,none,0,1,6,110,100,Q5,,0,10.09911,
31/01/2019 15:45:05.610,3.632168,break,2.634166,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:05.710,3.73311,break,2.734109,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:05.811,3.834052,break,2.835052,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:05.912,3.934995,break,2.936993,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.012,4.035936,break,3.036936,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.113,4.136879,break,3.137878,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.214,4.236823,break,3.238821,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.316,4.338764,break,3.340762,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.417,4.440705,break,3.441705,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.518,4.541648,break,3.542647,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.619,4.641592,break,3.643589,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.722,4.745255,break,3.746254,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.824,4.846197,break,3.847197,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:06.930,4.947139,break,3.948139,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:07.025,5.048382,break,4.050083,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:07.125,5.149024,break,4.150023,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:07.227,5.249967,break,4.250966,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:07.327,5.350909,break,4.351908,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:07.428,5.451939,break,4.452938,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:07.531,5.553881,break,4.555901,0,none,0,1,6,110,100,Q5,,0,10,
31/01/2019 15:45:07.630,5.652823,break,4.654845,0,none,0,1,6,110,100,Q5,,0,10.12051,
