,Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
,29/01/2019 12:39:36.579,0.000371933,adaptation,0.000371933,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,80.58083
,29/01/2019 12:39:36.588,0.01074982,adaptation,0.01074982,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,80.58083
,29/01/2019 12:39:36.593,0.01541424,adaptation,0.01541424,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,80.58083
,29/01/2019 12:39:36.593,0.01582432,adaptation,0.01582432,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,61.00165
,29/01/2019 12:39:36.605,0.02688313,adaptation,0.02688313,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,211.6581
,29/01/2019 12:39:36.616,0.03824329,adaptation,0.03824329,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,87.57718
,29/01/2019 12:39:36.627,0.04938221,adaptation,0.04938221,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,87.57718
,29/01/2019 12:39:36.638,0.06044292,adaptation,0.06044292,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.77225
,29/01/2019 12:39:36.649,0.07150459,adaptation,0.07150459,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.77225
,29/01/2019 12:39:36.660,0.08298779,adaptation,0.08298779,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,86.96786
,29/01/2019 12:39:36.671,0.09404278,adaptation,0.09404278,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,86.96786
,29/01/2019 12:39:36.672,0.09427071,adaptation,0.09427071,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.82404
,29/01/2019 12:39:36.682,0.1050901,adaptation,0.1050901,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.82404
,29/01/2019 12:39:36.694,0.1162367,adaptation,0.1162367,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.0242
,29/01/2019 12:39:36.705,0.1276932,adaptation,0.1276932,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.0242
,29/01/2019 12:39:36.716,0.1385288,adaptation,0.1385288,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,91.54491
,29/01/2019 12:39:36.727,0.1499119,adaptation,0.1499119,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,91.54491
,29/01/2019 12:39:36.738,0.160862,adaptation,0.160862,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.24945
,29/01/2019 12:39:36.750,0.1723528,adaptation,0.1723528,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.24945
,29/01/2019 12:39:36.761,0.1833725,adaptation,0.1833725,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,87.73007
,29/01/2019 12:39:36.761,0.1835804,adaptation,0.1835804,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.84137
,29/01/2019 12:39:36.772,0.1947613,adaptation,0.1947613,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,87.19308
,29/01/2019 12:39:36.783,0.2059155,adaptation,0.2059155,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,87.19308
,29/01/2019 12:39:36.795,0.2176237,adaptation,0.2176237,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,84.87091
,29/01/2019 12:39:36.806,0.2280779,adaptation,0.2280779,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,84.87091
,29/01/2019 12:39:36.817,0.2391319,adaptation,0.2391319,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.91917
,29/01/2019 12:39:36.828,0.250371,adaptation,0.250371,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.91917
,29/01/2019 12:39:36.839,0.2614222,adaptation,0.2614222,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.88683
,29/01/2019 12:39:36.850,0.2726774,adaptation,0.2726774,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.88683
,29/01/2019 12:39:36.862,0.283906,adaptation,0.283906,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.43504
,29/01/2019 12:39:36.862,0.2841091,adaptation,0.2841091,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.37988
,29/01/2019 12:39:36.873,0.2951117,adaptation,0.2951117,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.54651
,29/01/2019 12:39:36.884,0.306222,adaptation,0.306222,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.54651
,29/01/2019 12:39:36.895,0.3172455,adaptation,0.3172455,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.58406
,29/01/2019 12:39:36.906,0.3286133,adaptation,0.3286133,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.58406
,29/01/2019 12:39:36.917,0.3396111,adaptation,0.3396111,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.1445
,29/01/2019 12:39:36.928,0.3511028,adaptation,0.3511028,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.1445
,29/01/2019 12:39:36.939,0.3618793,adaptation,0.3618793,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,91.81388
,29/01/2019 12:39:36.951,0.3735876,adaptation,0.3735876,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,91.81388
,29/01/2019 12:39:36.951,0.3737917,adaptation,0.3737917,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,86.05408
,29/01/2019 12:39:36.962,0.384944,adaptation,0.384944,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,86.05408
,29/01/2019 12:39:36.974,0.3965816,adaptation,0.3965816,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,85.61278
,29/01/2019 12:39:36.985,0.4079552,adaptation,0.4079552,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,85.61278
