Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,FOV
22/01/2019 15:20:57.047,0.00481987,adaptation,0.00481987,none,0,1,110
22/01/2019 15:20:57.060,0.01914406,adaptation,0.01914406,none,0,1,110
22/01/2019 15:20:57.062,0.02117252,adaptation,0.02117252,none,0,1,110
22/01/2019 15:20:57.077,0.03562355,adaptation,0.03562355,none,0,1,110
22/01/2019 15:20:57.093,0.0513916,adaptation,0.0513916,none,0,1,110
22/01/2019 15:20:57.095,0.05331898,adaptation,0.05331898,none,0,1,110
22/01/2019 15:20:57.109,0.06788445,adaptation,0.06788445,none,0,1,110
22/01/2019 15:20:57.111,0.06983376,adaptation,0.06983376,none,0,1,110
22/01/2019 15:20:57.127,0.08568192,adaptation,0.08568192,none,0,1,110
22/01/2019 15:20:57.145,0.1037254,adaptation,0.1037254,none,0,1,110
22/01/2019 15:20:57.147,0.1056814,adaptation,0.1056814,none,0,1,110
22/01/2019 15:20:57.162,0.1202831,adaptation,0.1202831,none,0,1,110
22/01/2019 15:20:57.164,0.1222353,adaptation,0.1222353,none,0,1,110
22/01/2019 15:20:57.180,0.1382504,adaptation,0.1382504,none,0,1,110
22/01/2019 15:20:57.182,0.1403027,adaptation,0.1403027,none,0,1,110
22/01/2019 15:20:57.196,0.1549025,adaptation,0.1549025,none,0,1,110
22/01/2019 15:20:57.212,0.1701889,adaptation,0.1701889,none,0,1,110
22/01/2019 15:20:57.213,0.1721268,adaptation,0.1721268,none,0,1,110
22/01/2019 15:20:57.229,0.1873465,adaptation,0.1873465,none,0,1,110
22/01/2019 15:20:57.231,0.1892996,adaptation,0.1892996,none,0,1,110
22/01/2019 15:20:57.247,0.2060785,adaptation,0.2060785,none,0,1,110
22/01/2019 15:20:57.250,0.2082777,adaptation,0.2082777,none,0,1,110
22/01/2019 15:20:57.263,0.2213755,adaptation,0.2213755,none,0,1,110
22/01/2019 15:20:57.278,0.2370453,adaptation,0.2370453,none,0,1,110
22/01/2019 15:20:57.280,0.2389088,adaptation,0.2389088,none,0,1,110
22/01/2019 15:20:57.296,0.2543507,adaptation,0.2543507,none,0,1,110
22/01/2019 15:20:57.311,0.26968,adaptation,0.26968,none,0,1,110
22/01/2019 15:20:57.313,0.2716274,adaptation,0.2716274,none,0,1,110
22/01/2019 15:20:57.329,0.2874641,adaptation,0.2874641,none,0,1,110
22/01/2019 15:20:57.331,0.2894278,adaptation,0.2894278,none,0,1,110
22/01/2019 15:20:57.345,0.3039417,adaptation,0.3039417,none,0,1,110
22/01/2019 15:20:57.361,0.3198261,adaptation,0.3198261,none,0,1,110
22/01/2019 15:20:57.363,0.3216543,adaptation,0.3216543,none,0,1,110
22/01/2019 15:20:57.378,0.3366022,adaptation,0.3366022,none,0,1,110
22/01/2019 15:20:57.380,0.3385992,adaptation,0.3385992,none,0,1,110
22/01/2019 15:20:57.395,0.3536472,adaptation,0.3536472,none,0,1,110
22/01/2019 15:20:57.410,0.3692713,adaptation,0.3692713,none,0,1,110
