Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 17:41:49.933,636845533099352620,Preparation,0,0,0,none,0,999,999,999,999,PE,PE,999,0,none,
31/01/2019 17:41:49.941,636845533099412582,Preparation,0,0,0,none,0,999,999,999,999,PE,PE,999,0,none,
31/01/2019 17:41:49.947,636845533099472546,Preparation,0.0139645,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:49.953,636845533099532512,Preparation,0.0139645,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:49.959,636845533099592483,Preparation,0.0139645,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:49.965,636845533099652456,Preparation,0.0139645,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:49.971,636845533099712418,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:49.977,636845533099772378,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:49.983,636845533099832345,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:49.989,636845533099892309,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:49.995,636845533099952276,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.001,636845533100012247,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.007,636845533100072202,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.013,636845533100132168,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.019,636845533100192146,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.025,636845533100252108,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.031,636845533100312073,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.036,636845533100368562,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.041,636845533100418843,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.047,636845533100478501,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.053,636845533100538464,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.059,636845533100598429,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.065,636845533100658395,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.071,636845533100718360,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.077,636845533100778322,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.082,636845533100828545,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.088,636845533100888473,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.094,636845533100948491,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.100,636845533101008419,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.106,636845533101068416,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.112,636845533101128135,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.118,636845533101188102,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.124,636845533101248311,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.130,636845533101308021,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.136,636845533101367988,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.142,636845533101427955,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.148,636845533101488145,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.154,636845533101548117,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.160,636845533101607850,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.166,636845533101667818,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.172,636845533101727783,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.178,636845533101787758,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.184,636845533101847726,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.190,636845533101907682,Preparation,0.0429485,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:41:50.196,636845533101967647,Preparation,0.2644738,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.201,636845533102017838,Preparation,0.2644738,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.207,636845533102077583,Preparation,0.2644738,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.213,636845533102137547,Preparation,0.2644738,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
