Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,FOV,Saturation,FPS target,FPS real
23/01/2019 14:08:56.010,0.02403736,adaptation,0.02403736,none,0,1,110,100,90,39.29845
23/01/2019 14:08:56.017,0.03230667,adaptation,0.03230667,none,0,1,110,100,90,39.29845
23/01/2019 14:08:56.040,0.05481529,adaptation,0.05481529,none,0,1,110,100,90,33.85825
23/01/2019 14:08:56.065,0.07951069,adaptation,0.07951069,none,0,1,110,100,90,31.62555
23/01/2019 14:08:56.087,0.1023598,adaptation,0.1023598,none,0,1,110,100,90,40.49255
23/01/2019 14:08:56.114,0.1288052,adaptation,0.1288052,none,0,1,110,100,90,43.78917
23/01/2019 14:08:56.139,0.1536837,adaptation,0.1536837,none,0,1,110,100,90,37.81362
23/01/2019 14:08:56.161,0.1760426,adaptation,0.1760426,none,0,1,110,100,90,40.21604
23/01/2019 14:08:56.184,0.1988745,adaptation,0.1988745,none,0,1,110,100,90,44.69514
23/01/2019 14:08:56.207,0.2220955,adaptation,0.2220955,none,0,1,110,100,90,43.81852
23/01/2019 14:08:56.230,0.2444658,adaptation,0.2444658,none,0,1,110,100,90,43.02222
23/01/2019 14:08:56.252,0.2672348,adaptation,0.2672348,none,0,1,110,100,90,44.71212
23/01/2019 14:08:56.275,0.2898121,adaptation,0.2898121,none,0,1,110,100,90,43.91801
23/01/2019 14:08:56.298,0.3131123,adaptation,0.3131123,none,0,1,110,100,90,44.29385
23/01/2019 14:08:56.323,0.33776,adaptation,0.33776,none,0,1,110,100,90,42.9332
23/01/2019 14:08:56.346,0.3608866,adaptation,0.3608866,none,0,1,110,100,90,40.54903
23/01/2019 14:08:56.368,0.3831987,adaptation,0.3831987,none,0,1,110,100,90,43.23595
23/01/2019 14:08:56.392,0.4066076,adaptation,0.4066076,none,0,1,110,100,90,44.82717
23/01/2019 14:08:56.415,0.4299297,adaptation,0.4299297,none,0,1,110,100,90,42.74034
23/01/2019 14:08:56.438,0.4529076,adaptation,0.4529076,none,0,1,110,100,90,42.86308
23/01/2019 14:08:56.461,0.4755344,adaptation,0.4755344,none,0,1,110,100,90,43.5341
23/01/2019 14:08:56.485,0.4998779,adaptation,0.4998779,none,0,1,110,100,90,44.18913
23/01/2019 14:08:56.508,0.5230112,adaptation,0.5230112,none,0,1,110,100,90,41.0794
23/01/2019 14:08:56.533,0.5474777,adaptation,0.5474777,none,0,1,110,100,90,43.21857
23/01/2019 14:08:56.556,0.5706177,adaptation,0.5706177,none,0,1,110,100,90,40.88508
23/01/2019 14:08:56.582,0.5969114,adaptation,0.5969114,none,0,1,110,100,90,43.20532
23/01/2019 14:08:56.607,0.621789,adaptation,0.621789,none,0,1,110,100,90,38.02946
23/01/2019 14:08:56.631,0.6453466,adaptation,0.6453466,none,0,1,110,100,90,40.18453
23/01/2019 14:08:56.654,0.6683931,adaptation,0.6683931,none,0,1,110,100,90,42.48124
23/01/2019 14:08:56.676,0.6910906,adaptation,0.6910906,none,0,1,110,100,90,43.46144
23/01/2019 14:08:56.700,0.7145433,adaptation,0.7145433,none,0,1,110,100,90,43.97673
23/01/2019 14:08:56.724,0.738986,adaptation,0.738986,none,0,1,110,100,90,42.60976
23/01/2019 14:08:56.749,0.7631397,adaptation,0.7631397,none,0,1,110,100,90,40.91686
23/01/2019 14:08:56.772,0.7864399,adaptation,0.7864399,none,0,1,110,100,90,41.40924
23/01/2019 14:08:56.795,0.8094902,adaptation,0.8094902,none,0,1,110,100,90,42.91293
23/01/2019 14:08:56.818,0.8328753,adaptation,0.8328753,none,0,1,110,100,90,43.38866
23/01/2019 14:08:56.841,0.8557682,adaptation,0.8557682,none,0,1,110,100,90,42.78825
23/01/2019 14:08:56.865,0.8791723,adaptation,0.8791723,none,0,1,110,100,90,43.66679
23/01/2019 14:08:56.888,0.9021721,adaptation,0.9021721,none,0,1,110,100,90,42.71478
23/01/2019 14:08:56.911,0.9251709,adaptation,0.9251709,none,0,1,110,100,90,43.47429
23/01/2019 14:08:56.934,0.9488859,adaptation,0.9488859,none,0,1,110,100,90,43.46806
23/01/2019 14:08:56.958,0.9725046,adaptation,0.9725046,none,0,1,110,100,90,42.18662
23/01/2019 14:08:56.982,0.9959955,adaptation,0.9959955,none,0,1,110,100,90,42.33844
23/01/2019 14:08:57.007,1.019763,intervention,0.01976299,decay,0.01976299,0.98,108.52,98,90,42.56152
23/01/2019 14:08:57.030,1.044557,intervention,0.04455662,decay,0.04455662,0.95,106.31,95,90,42.09552
23/01/2019 14:08:57.055,1.06941,intervention,0.06941032,decay,0.06941032,0.93,104.84,93,90,40.30844
23/01/2019 14:08:57.080,1.094138,intervention,0.09413815,decay,0.09413815,0.9,102.62,90,90,40.24339
