Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
26/01/2019 15:49:17.961,0.004761696,adaptation,0.004761696,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.19154
26/01/2019 15:49:17.990,0.03532028,adaptation,0.03532028,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.19154
26/01/2019 15:49:17.992,0.03735542,adaptation,0.03735542,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.19154
26/01/2019 15:49:17.994,0.03931618,adaptation,0.03931618,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.19154
26/01/2019 15:49:17.996,0.04124737,adaptation,0.04124737,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.19154
26/01/2019 15:49:18.025,0.07066917,adaptation,0.07066917,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,24.27385
26/01/2019 15:49:18.027,0.07259083,adaptation,0.07259083,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,24.27385
26/01/2019 15:49:18.029,0.0745945,adaptation,0.0745945,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,24.27385
26/01/2019 15:49:18.058,0.1041479,adaptation,0.1041479,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,27.99685
26/01/2019 15:49:18.060,0.1060724,adaptation,0.1060724,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,27.99685
26/01/2019 15:49:18.062,0.1080523,adaptation,0.1080523,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,27.99685
26/01/2019 15:49:18.064,0.1099205,adaptation,0.1099205,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,27.99685
26/01/2019 15:49:18.093,0.1386337,adaptation,0.1386337,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.04275
26/01/2019 15:49:18.095,0.1406002,adaptation,0.1406002,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.04275
26/01/2019 15:49:18.097,0.1424818,adaptation,0.1424818,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.04275
26/01/2019 15:49:18.125,0.1711636,adaptation,0.1711636,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.85689
26/01/2019 15:49:18.127,0.1731224,adaptation,0.1731224,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.85689
26/01/2019 15:49:18.129,0.1751194,adaptation,0.1751194,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.85689
26/01/2019 15:49:18.158,0.2037754,adaptation,0.2037754,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.33714
26/01/2019 15:49:18.160,0.2058582,adaptation,0.2058582,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.33714
26/01/2019 15:49:18.162,0.2078619,adaptation,0.2078619,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.33714
26/01/2019 15:49:18.164,0.2097416,adaptation,0.2097416,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.33714
26/01/2019 15:49:18.193,0.2386866,adaptation,0.2386866,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.12157
26/01/2019 15:49:18.195,0.2406454,adaptation,0.2406454,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.12157
26/01/2019 15:49:18.197,0.2426119,adaptation,0.2426119,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.12157
26/01/2019 15:49:18.227,0.2724009,adaptation,0.2724009,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.68495
26/01/2019 15:49:18.229,0.2744789,adaptation,0.2744789,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.68495
