Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,FOV,Saturation,FPS target,FPS real,,,,,,
41:33.0,0.01520157,adaptation,0.01520157,none,0,1,110,100,90,19.75789,,,0.00570297,20.22892046,max,0.090113
41:33.0,0.02090454,adaptation,0.02090454,none,0,1,110,100,90,19.75789,,,0.03949928,7.46378056,min,0.0001297
41:33.1,0.06040382,adaptation,0.06040382,none,0,1,110,100,90,19.75789,,,0.00033188,17.3443365,mean,0.012664752
41:33.1,0.0607357,adaptation,0.0607357,none,0,1,110,100,90,19.75789,,,0.00030709,17.3285837,st dev,0.018352272
41:33.1,0.06104279,adaptation,0.06104279,none,0,1,110,100,90,19.75789,,,0.01076698,21.6221174,,
41:33.1,0.07180977,adaptation,0.07180977,none,0,1,110,100,90,16.03677,,,0.0001297,17.21536137,,
41:33.1,0.07193947,adaptation,0.07193947,none,0,1,110,100,90,16.03677,,,0.03921123,7.636114182,,
41:33.1,0.1111507,adaptation,0.1111507,none,0,1,110,100,90,16.03677,,,0.0001355,17.21907704,,
41:33.1,0.1112862,adaptation,0.1112862,none,0,1,110,100,90,16.03677,,,0.0002708,17.30549209,,
41:33.1,0.111557,adaptation,0.111557,none,0,1,110,100,90,16.03677,,,0.0003109,17.33100589,,
41:33.1,0.1118679,adaptation,0.1118679,none,0,1,110,100,90,16.03677,,,0.0100117,21.51207017,,
41:33.1,0.1218796,adaptation,0.1218796,none,0,1,110,100,90,19.71337,,,0.0001297,17.21536137,,
41:33.1,0.1220093,adaptation,0.1220093,none,0,1,110,100,90,19.71337,,,0.038517,8.059821645,,
41:33.2,0.1605263,adaptation,0.1605263,none,0,1,110,100,90,19.71337,,,0.0003814,17.37575194,,
41:33.2,0.1609077,adaptation,0.1609077,none,0,1,110,100,90,19.71337,,,0.0099831,21.50719825,,
41:33.2,0.1708908,adaptation,0.1708908,none,0,1,110,100,90,20.25091,,,0.0001698,17.24103193,,
41:33.2,0.1710606,adaptation,0.1710606,none,0,1,110,100,90,20.25091,,,0.045063,4.57600751,,
41:33.2,0.2161236,adaptation,0.2161236,none,0,1,110,100,90,20.25091,,,0.0004864,17.44213209,,
41:33.2,0.21661,adaptation,0.21661,none,0,1,110,100,90,20.25091,,,0.0003414,17.35038138,,
41:33.2,0.2169514,adaptation,0.2169514,none,0,1,110,100,90,20.25091,,,0.0098285,21.47997858,,
41:33.2,0.2267799,adaptation,0.2267799,none,0,1,110,100,90,17.99312,,,0.0001316,17.21657867,,
41:33.2,0.2269115,adaptation,0.2269115,none,0,1,110,100,90,17.99312,,,0.0393143,7.574211723,,
41:33.3,0.2662258,adaptation,0.2662258,none,0,1,110,100,90,17.99312,,,0.0003586,17.36129628,,
41:33.3,0.2665844,adaptation,0.2665844,none,0,1,110,100,90,17.99312,,,0.0103455,21.5651405,,
41:33.3,0.2769299,adaptation,0.2769299,none,0,1,110,100,90,19.95164,,,0.0001506,17.22874628,,
41:33.3,0.2770805,adaptation,0.2770805,none,0,1,110,100,90,19.95164,,,0.0390129,7.755967167,,
41:33.3,0.3160934,adaptation,0.3160934,none,0,1,110,100,90,19.95164,,,0.0003148,17.33348488,,
41:33.3,0.3164082,adaptation,0.3164082,none,0,1,110,100,90,19.95164,,,0.0003376,17.34796881,,
41:33.3,0.3167458,adaptation,0.3167458,none,0,1,110,100,90,19.95164,,,0.009962,21.50357117,,
41:33.3,0.3267078,adaptation,0.3267078,none,0,1,110,100,90,20.08694,,,0.0001488,17.22759398,,
41:33.3,0.3268566,adaptation,0.3268566,none,0,1,110,100,90,20.08694,,,0.0413284,6.41964466,,
41:33.4,0.368185,adaptation,0.368185,none,0,1,110,100,90,20.08694,,,0.0002938,17.32013146,,
41:33.4,0.3684788,adaptation,0.3684788,none,0,1,110,100,90,20.08694,,,0.0003624,17.36370659,,
41:33.4,0.3688412,adaptation,0.3688412,none,0,1,110,100,90,20.08694,,,0.0100975,21.52637887,,
41:33.4,0.3789387,adaptation,0.3789387,none,0,1,110,100,90,19.1634,,,0.0001373,17.22022999,,
41:33.4,0.379076,adaptation,0.379076,none,0,1,110,100,90,19.1634,,,0.0393601,7.546789746,,
41:33.4,0.4184361,adaptation,0.4184361,none,0,1,110,100,90,19.1634,,,0.0003757,17.37213941,,
41:33.4,0.4188118,adaptation,0.4188118,none,0,1,110,100,90,19.1634,,,0.0100098,21.5117481,,
41:33.4,0.4288216,adaptation,0.4288216,none,0,1,110,100,90,19.90018,,,0.0001468,17.22631355,,
41:33.4,0.4289684,adaptation,0.4289684,none,0,1,110,100,90,19.90018,,,0.0410786,6.556973892,,
41:33.5,0.470047,adaptation,0.470047,none,0,1,110,100,90,19.90018,,,0.0004139,17.39633199,,
41:33.5,0.4704609,adaptation,0.4704609,none,0,1,110,100,90,19.90018,,,0.0003128,17.33221366,,
41:33.5,0.4707737,adaptation,0.4707737,none,0,1,110,100,90,19.90018,,,0.0098686,21.48718194,,
41:33.5,0.4806423,adaptation,0.4806423,none,0,1,110,100,90,19.43234,,,0.0001316,17.21657867,,
41:33.5,0.4807739,adaptation,0.4807739,none,0,1,110,100,90,19.43234,,,0.039835,7.265569867,,
41:33.5,0.5206089,adaptation,0.5206089,none,0,1,110,100,90,19.43234,,,0.0004005,17.38785033,,
41:33.5,0.5210094,adaptation,0.5210094,none,0,1,110,100,90,19.43234,,,0.0102063,21.54385975,,
41:33.6,0.5312157,adaptation,0.5312157,none,0,1,110,100,90,19.71014,,,0.0001564,17.23245864,,
41:33.6,0.5313721,adaptation,0.5313721,none,0,1,110,100,90,19.71014,,,0.038414,8.123667063,,
41:33.6,0.5697861,adaptation,0.5697861,none,0,1,110,100,90,19.71014,,,0.0003204,17.33704369,,
41:33.6,0.5701065,adaptation,0.5701065,none,0,1,110,100,90,19.71014,,,0.0003548,17.35888557,,
41:33.6,0.5704613,adaptation,0.5704613,none,0,1,110,100,90,19.71014,,,0.0098724,21.48785936,,
41:33.6,0.5803337,adaptation,0.5803337,none,0,1,110,100,90,20.34174,,,0.0001679,17.23981661,,
41:33.6,0.5805016,adaptation,0.5805016,none,0,1,110,100,90,20.34174,,,0.0387458,7.918895081,,
41:33.6,0.6192474,adaptation,0.6192474,none,0,1,110,100,90,20.34174,,,0.0003395,17.34917515,,
41:33.6,0.6195869,adaptation,0.6195869,none,0,1,110,100,90,20.34174,,,0.010397,21.57270456,,
41:33.6,0.6299839,adaptation,0.6299839,none,0,1,110,100,90,20.21333,,,0.0001793,17.24710703,,
41:33.6,0.6301632,adaptation,0.6301632,none,0,1,110,100,90,20.21333,,,0.0406017,6.823852044,,
41:33.7,0.6707649,adaptation,0.6707649,none,0,1,110,100,90,20.21333,,,0.0003948,17.38424091,,
41:33.7,0.6711597,adaptation,0.6711597,none,0,1,110,100,90,20.21333,,,0.0003567,17.36009098,,
41:33.7,0.6715164,adaptation,0.6715164,none,0,1,110,100,90,20.21333,,,0.0097866,21.47234494,,
41:33.7,0.681303,adaptation,0.681303,none,0,1,110,100,90,19.42279,,,0.0001335,17.21779588,,
41:33.7,0.6814365,adaptation,0.6814365,none,0,1,110,100,90,19.42279,,,0.0400105,7.163103698,,
41:33.7,0.721447,adaptation,0.721447,none,0,1,110,100,90,19.42279,,,0.0003643,17.36491158,,
41:33.7,0.7218113,adaptation,0.7218113,none,0,1,110,100,90,19.42279,,,0.0101166,21.52950139,,
41:33.8,0.7319279,adaptation,0.7319279,none,0,1,110,100,90,19.72079,,,0.0001545,17.23124262,,
41:33.8,0.7320824,adaptation,0.7320824,none,0,1,110,100,90,19.72079,,,0.0467167,3.887216454,,
41:33.8,0.7787991,adaptation,0.7787991,none,0,1,110,100,90,19.72079,,,0.0004005,17.38785033,,
41:33.8,0.7791996,adaptation,0.7791996,none,0,1,110,100,90,19.72079,,,0.0003471,17.35399945,,
41:33.8,0.7795467,adaptation,0.7795467,none,0,1,110,100,90,19.72079,,,0.0105343,21.59205254,,
41:33.8,0.790081,adaptation,0.790081,none,0,1,110,100,90,17.43798,,,0.0001564,17.23245864,,
41:33.8,0.7902374,adaptation,0.7902374,none,0,1,110,100,90,17.43798,,,0.0413761,6.393615484,,
41:33.9,0.8316135,adaptation,0.8316135,none,0,1,110,100,90,17.43798,,,0.0003338,17.34555584,,
41:33.9,0.8319473,adaptation,0.8319473,none,0,1,110,100,90,17.43798,,,0.0003186,17.33589988,,
41:33.9,0.8322659,adaptation,0.8322659,none,0,1,110,100,90,17.43798,,,0.0111656,21.6656255,,
41:33.9,0.8434315,adaptation,0.8434315,none,0,1,110,100,90,18.9418,,,0.000164,17.23732171,,
41:33.9,0.8435955,adaptation,0.8435955,none,0,1,110,100,90,18.9418,,,0.0397644,7.30701365,,
41:33.9,0.8833599,adaptation,0.8833599,none,0,1,110,100,90,18.9418,,,0.0003891,17.38063055,,
41:33.9,0.883749,adaptation,0.883749,none,0,1,110,100,90,18.9418,,,0.0102959,21.55769752,,
41:33.9,0.8940449,adaptation,0.8940449,none,0,1,110,100,90,19.30323,,,0.0001545,17.23124262,,
41:33.9,0.8941994,adaptation,0.8941994,none,0,1,110,100,90,19.30323,,,0.0402641,7.016452486,,
41:34.0,0.9344635,adaptation,0.9344635,none,0,1,110,100,90,19.30323,,,0.0003567,17.36009098,,
41:34.0,0.9348202,adaptation,0.9348202,none,0,1,110,100,90,19.30323,,,0.0003242,17.3394581,,
41:34.0,0.9351444,adaptation,0.9351444,none,0,1,110,100,90,19.30323,,,0.0098953,21.49192263,,
41:34.0,0.9450397,adaptation,0.9450397,none,0,1,110,100,90,19.57618,,,0.0001393,17.22151094,,
41:34.0,0.945179,adaptation,0.945179,none,0,1,110,100,90,19.57618,,,0.038908,7.819748869,,
41:34.0,0.984087,adaptation,0.984087,none,0,1,110,100,90,19.57618,,,0.0004864,17.44213209,,
41:34.0,0.9845734,adaptation,0.9845734,none,0,1,110,100,90,19.57618,,,0.0100021,21.51044054,,
41:34.0,0.9945755,adaptation,0.9945755,none,0,1,110,100,90,20.18355,,,0.000164,17.23732171,,
41:34.0,0.9947395,adaptation,0.9947395,none,0,1,110,100,90,20.18355,,,0.0391145,7.694448275,,
41:34.1,1.033854,intervention,0.03385353,decay,0.03385353,0.96,107.05,96,87,20.18355,,,0.003707,19.29685883,,
41:34.1,1.037561,intervention,0.03756142,decay,0.03756142,0.96,107.05,96,87,20.18355,,,0.001938,18.32466614,,
41:34.1,1.039499,intervention,0.03949928,decay,0.03949928,0.96,107.05,96,87,20.18355,,,0.011551,21.69803867,,
41:34.1,1.05105,intervention,0.05105019,decay,0.05105019,0.94,105.57,94,86,20.07875,,,0.001948,18.33050047,,
41:34.1,1.052998,intervention,0.05299759,decay,0.05299759,0.94,105.57,94,86,20.07875,,,0.042173,5.968076251,,
41:34.1,1.095171,intervention,0.09517097,decay,0.09517097,0.9,102.62,90,84,20.07875,,,0.002613,18.71020983,,
41:34.1,1.097784,intervention,0.09778404,decay,0.09778404,0.9,102.62,90,84,20.07875,,,0.001856,18.27668991,,
41:34.1,1.09964,intervention,0.09963989,decay,0.09963989,0.9,102.62,90,84,20.07875,,,0.012709,21.73796887,,
41:34.1,1.112349,intervention,0.1123486,decay,0.1123486,0.88,101.15,88,82,16.30024,,,0.001928,18.31882822,,
41:34.1,1.114277,intervention,0.1142769,decay,0.1142769,0.88,101.15,88,82,16.30024,,,0.044327,4.907774159,,
41:34.2,1.158604,intervention,0.1586037,decay,0.1586037,0.84,98.2,84,80,16.30024,,,0.002557,18.67887892,,
41:34.2,1.161161,intervention,0.1611614,decay,0.1611614,0.83,97.47,83,79,16.30024,,,0.001934,18.3223314,,
41:34.2,1.163095,intervention,0.1630955,decay,0.1630955,0.83,97.47,83,79,16.30024,,,0.011433,21.68912534,,
41:34.2,1.174528,intervention,0.1745281,decay,0.1745281,0.82,96.73,82,79,15.76892,,,0.001934,18.3223314,,
41:34.2,1.176462,intervention,0.1764622,decay,0.1764622,0.82,96.73,82,79,15.76892,,,0.045143,4.540885255,,
41:34.2,1.221605,intervention,0.2216053,decay,0.2216053,0.77,93.04,77,76,15.76892,,,0.002632,18.72081229,,
41:34.2,1.224237,intervention,0.2242374,decay,0.2242374,0.77,93.04,77,76,15.76892,,,0.001862,18.28020847,,
41:34.2,1.226099,intervention,0.226099,decay,0.226099,0.77,93.04,77,76,15.76892,,,0.011616,21.70256688,,
41:34.3,1.237715,intervention,0.2377148,decay,0.2377148,0.76,92.31,76,75,15.86373,,,0.002182,18.46599019,,
41:34.3,1.239897,intervention,0.2398968,decay,0.2398968,0.76,92.31,76,75,15.86373,,,0.051029,2.445139905,,
41:34.3,1.290926,intervention,0.290926,decay,0.290926,0.7,87.88,70,72,15.86373,,,0.002573,18.68784301,,
41:34.3,1.293499,intervention,0.293499,decay,0.293499,0.7,87.88,70,72,15.86373,,,0.001841,18.26788791,,
41:34.3,1.29534,intervention,0.2953396,decay,0.2953396,0.7,87.88,70,72,15.86373,,,0.001911,18.30889556,,
41:34.3,1.297251,intervention,0.2972507,decay,0.2972507,0.7,87.88,70,72,15.86373,,,0.011638,21.70403805,,
41:34.3,1.308889,intervention,0.3088894,decay,0.3088894,0.69,87.15,69,71,14.4245,,,0.001944,18.32816717,,
41:34.3,1.310833,intervention,0.310833,decay,0.310833,0.68,86.41,68,70,14.4245,,,0.047247,3.682755159,,
41:34.4,1.35808,intervention,0.3580799,decay,0.3580799,0.64,83.46,64,68,14.4245,,,0.002588,18.69623784,,
41:34.4,1.360668,intervention,0.3606682,decay,0.3606682,0.63,82.73,63,67,14.4245,,,0.001894,18.29895258,,
41:34.4,1.362562,intervention,0.3625622,decay,0.3625622,0.63,82.73,63,67,14.4245,,,0.011675,21.70644217,,
41:34.4,1.374237,intervention,0.3742371,decay,0.3742371,0.62,81.99,62,67,14.92695,,,0.001951,18.33225008,,
41:34.4,1.376188,intervention,0.3761883,decay,0.3761883,0.62,81.99,62,67,14.92695,,,0.045664,4.31664683,,
41:34.4,1.421852,intervention,0.4218521,decay,0.4218521,0.57,78.3,57,64,14.92695,,,0.003187,19.02418173,,
41:34.4,1.425039,intervention,0.4250393,decay,0.4250393,0.57,78.3,57,64,14.92695,,,0.001879,18.29017081,,
41:34.4,1.426918,intervention,0.426918,decay,0.426918,0.57,78.3,57,64,14.92695,,,0.011492,21.69369365,,
41:34.5,1.43841,intervention,0.4384098,decay,0.4384098,0.56,77.57,56,63,15.6593,,,0.001882,18.2919278,,
41:34.5,1.440292,intervention,0.4402924,decay,0.4402924,0.55,76.83,55,63,15.6593,,,0.050257,2.66753039,,
41:34.5,1.490549,intervention,0.4905491,decay,0.4905491,0.5,73.15,50,60,15.6593,,,0.002691,18.75364591,,
41:34.5,1.49324,intervention,0.4932404,decay,0.4932404,0.5,73.15,50,60,15.6593,,,0.001912,18.30948012,,
41:34.5,1.495152,intervention,0.4951515,decay,0.4951515,0.5,73.15,50,60,15.6593,,,0.001787,18.23613492,,
41:34.5,1.496939,intervention,0.4969387,decay,0.4969387,0.5,73.15,50,60,15.6593,,,0.011638,21.70403805,,
41:34.5,1.508577,intervention,0.5085773,decay,0.5085773,0.49,72.41,49,59,14.54685,,,0.002024,18.37472387,,
41:34.5,1.510601,intervention,0.510601,decay,0.510601,0.48,71.67,48,58,14.54685,,,0.046253,4.072493258,,
41:34.6,1.556854,intervention,0.5568542,decay,0.5568542,0.44,68.72,44,56,14.54685,,,0.002615,18.71132654,,
41:34.6,1.559469,intervention,0.5594692,decay,0.5594692,0.44,68.72,44,56,14.54685,,,0.001837,18.26553936,,
41:34.6,1.561306,intervention,0.561306,decay,0.561306,0.43,67.99,43,55,14.54685,,,0.011505,21.69467022,,
41:34.6,1.572811,intervention,0.5728111,decay,0.5728111,0.42,67.25,42,55,15.09359,,,0.001917,18.31240238,,
41:34.6,1.574728,intervention,0.574728,decay,0.574728,0.42,67.25,42,55,15.09359,,,0.046953,3.795134693,,
41:34.6,1.621681,intervention,0.6216812,decay,0.6216812,0.37,63.56,37,52,15.09359,,,0.002655,18.73362802,,
41:34.6,1.624336,intervention,0.6243362,decay,0.6243362,0.37,63.56,37,52,15.09359,,,0.001879,18.29017081,,
41:34.6,1.626215,intervention,0.626215,decay,0.626215,0.37,63.56,37,52,15.09359,,,0.011415,21.68768719,,
41:34.7,1.63763,intervention,0.6376305,decay,0.6376305,0.36,62.83,36,51,15.41737,,,0.001954,18.33399935,,
41:34.7,1.639584,intervention,0.6395836,decay,0.6395836,0.36,62.83,36,51,15.41737,,,0.048448,3.248536809,,
41:34.7,1.688032,intervention,0.6880322,decay,0.6880322,0.31,59.14,31,48,15.41737,,,0.002674,18.74419935,,
41:34.7,1.690706,intervention,0.6907063,decay,0.6907063,0.3,58.41,30,48,15.41737,,,0.001923,18.31590792,,
41:34.7,1.692629,intervention,0.6926289,decay,0.6926289,0.3,58.41,30,48,15.41737,,,0.001881,18.29134218,,
41:34.7,1.69451,intervention,0.6945095,decay,0.6945095,0.3,58.41,30,48,15.41737,,,0.011489,21.69346676,,
41:34.7,1.705999,intervention,0.7059994,decay,0.7059994,0.29,57.67,29,47,15.07257,,,0.001854,18.27551677,,
41:34.7,1.707853,intervention,0.7078533,decay,0.7078533,0.29,57.67,29,47,15.07257,,,0.050837,2.499067316,,
41:34.8,1.75869,intervention,0.7586899,decay,0.7586899,0.24,53.98,24,44,15.07257,,,0.002729,18.77472074,,
41:34.8,1.761419,intervention,0.7614193,decay,0.7614193,0.23,53.25,23,43,15.07257,,,0.001883,18.2925134,,
41:34.8,1.763302,intervention,0.7633018,decay,0.7633018,0.23,53.25,23,43,15.07257,,,0.011534,21.69680963,,
41:34.8,1.774836,intervention,0.7748356,decay,0.7748356,0.22,52.51,22,43,14.15248,,,0.001934,18.3223314,,
41:34.8,1.77677,intervention,0.7767696,decay,0.7767696,0.22,52.51,22,43,14.15248,,,0.044483,4.836151347,,
41:34.8,1.821253,intervention,0.8212528,decay,0.8212528,0.17,48.82,17,40,14.15248,,,0.002786,18.80622621,,
41:34.8,1.824039,intervention,0.8240395,decay,0.8240395,0.17,48.82,17,40,14.15248,,,0.001858,18.2778629,,
41:34.8,1.825897,intervention,0.8258972,decay,0.8258972,0.17,48.82,17,40,14.15248,,,0.011482,21.69293508,,
41:34.9,1.837379,intervention,0.8373795,decay,0.8373795,0.16,48.09,16,39,16.0324,,,0.001959,18.3369141,,
41:34.9,1.839338,intervention,0.8393383,decay,0.8393383,0.16,48.09,16,39,16.0324,,,0.048865,3.106955268,,
41:34.9,1.888203,intervention,0.8882027,decay,0.8882027,0.11,44.4,11,36,16.0324,,,0.002819,18.82440739,,
41:34.9,1.891022,intervention,0.8910217,decay,0.8910217,0.1,43.67,10,36,16.0324,,,0.001877,18.2889993,,
41:34.9,1.892899,intervention,0.8928986,decay,0.8928986,0.1,43.67,10,36,16.0324,,,0.001859,18.27844935,,
41:34.9,1.894758,intervention,0.8947582,decay,0.8947582,0.1,43.67,10,36,16.0324,,,0.011654,21.70508846,,
41:34.9,1.906412,intervention,0.9064121,decay,0.9064121,0.09,42.93,9,35,14.92125,,,0.001951,18.33225008,,
41:34.9,1.908363,intervention,0.9083633,decay,0.9083633,0.09,42.93,9,35,14.92125,,,0.052609,2.034855286,,
41:35.0,1.960972,intervention,0.9609718,decay,0.9609718,0.03,38.51,3,31,14.92125,,,0.002537,18.66765991,,
41:35.0,1.963509,intervention,0.9635086,decay,0.9635086,0.03,38.51,3,31,14.92125,,,0.001867,18.28313964,,
41:35.0,1.965376,intervention,0.9653759,decay,0.9653759,0.03,38.51,3,31,14.92125,,,0.011595,21.70113359,,
41:35.0,1.976971,intervention,0.9769707,decay,0.9769707,0.02,37.77,2,31,13.71383,,,0.001968,18.34215838,,
41:35.0,1.978939,intervention,0.9789391,decay,0.9789391,0.02,37.77,2,31,13.71383,,,0.046587,3.938426861,,
41:35.0,2.025526,intervention,1.025526,sustain low,0.02552605,0,36.3,0,30,13.71383,,,0.002716,18.76751732,,
41:35.0,2.028242,intervention,1.028242,sustain low,0.02824211,0,36.3,0,30,13.71383,,,0.001858,18.2778629,,
41:35.1,2.0301,intervention,1.0301,sustain low,0.03009987,0,36.3,0,30,13.71383,,,0.011593,21.7009956,,
41:35.1,2.041693,intervention,1.041693,sustain low,0.04169273,0,36.3,0,30,15.50953,,,0.002149,18.44700383,,
41:35.1,2.043842,intervention,1.043842,sustain low,0.04384232,0,36.3,0,30,15.50953,,,0.047974,3.415180325,,
41:35.1,2.091816,intervention,1.091816,sustain low,0.09181595,0,36.3,0,30,15.50953,,,0.002592,18.69847499,,
41:35.1,2.094408,intervention,1.094408,sustain low,0.09440804,0,36.3,0,30,15.50953,,,0.002113,18.42624574,,
41:35.1,2.096521,intervention,1.096521,sustain low,0.09652138,0,36.3,0,30,15.50953,,,0.001818,18.25437605,,
41:35.1,2.098339,intervention,1.098339,sustain low,0.09833908,0,36.3,0,30,15.50953,,,0.011993,21.72347465,,
41:35.1,2.110332,intervention,1.110332,sustain low,0.1103325,0,36.3,0,30,15.11371,,,0.001915,18.31123359,,
41:35.1,2.112247,intervention,1.112247,sustain low,0.1122475,0,36.3,0,30,15.11371,,,0.051167,2.406937105,,
41:35.2,2.163414,intervention,1.163414,sustain low,0.163414,0,36.3,0,30,15.11371,,,0.00285,18.84144719,,
41:35.2,2.166264,intervention,1.166264,sustain low,0.1662636,0,36.3,0,30,15.11371,,,0.003463,19.17034349,,
41:35.2,2.169727,intervention,1.169727,sustain low,0.1697273,0,36.3,0,30,15.11371,,,0.011576,21.69981239,,
41:35.2,2.181303,intervention,1.181303,sustain low,0.181303,0,36.3,0,30,13.96042,,,0.001928,18.31882822,,
41:35.2,2.183231,intervention,1.183231,sustain low,0.1832314,0,36.3,0,30,13.96042,,,0.047804,3.476442304,,
41:35.3,2.231035,intervention,1.231035,sustain low,0.2310352,0,36.3,0,30,13.96042,,,0.002659,18.73585474,,
41:35.3,2.233694,intervention,1.233694,sustain low,0.2336941,0,36.3,0,30,13.96042,,,0.001843,18.26906197,,
41:35.3,2.235537,intervention,1.235537,sustain low,0.2355366,0,36.3,0,30,13.96042,,,0.001829,18.26084058,,
41:35.3,2.237366,intervention,1.237366,sustain low,0.2373657,0,36.3,0,30,13.96042,,,0.012165,21.72997381,,
41:35.3,2.249531,intervention,1.249531,sustain low,0.2495308,0,36.3,0,30,14.77109,,,0.002804,18.81614858,,
41:35.3,2.252335,intervention,1.252335,sustain low,0.2523346,0,36.3,0,30,14.77109,,,0.046608,3.930103052,,
41:35.3,2.298943,intervention,1.298943,sustain low,0.2989426,0,36.3,0,30,14.77109,,,0.002418,18.6005892,,
41:35.3,2.301361,intervention,1.301361,sustain low,0.3013611,0,36.3,0,30,14.77109,,,0.001843,18.26906197,,
41:35.3,2.303204,intervention,1.303204,sustain low,0.3032036,0,36.3,0,30,14.77109,,,0.012098,21.72766885,,
41:35.3,2.315302,intervention,1.315302,sustain low,0.3153019,0,36.3,0,30,14.70197,,,0.001913,18.31006464,,
41:35.3,2.317215,intervention,1.317215,sustain low,0.317215,0,36.3,0,30,14.70197,,,0.049149,3.013188683,,
41:35.4,2.366364,intervention,1.366364,sustain low,0.3663635,0,36.3,0,30,14.70197,,,0.002677,18.74586721,,
41:35.4,2.369041,intervention,1.369041,sustain low,0.3690414,0,36.3,0,30,14.70197,,,0.001831,18.26201548,,
41:35.4,2.370872,intervention,1.370872,sustain low,0.3708725,0,36.3,0,30,14.70197,,,0.002232,18.49468071,,
41:35.4,2.373104,intervention,1.373104,sustain low,0.3731041,0,36.3,0,30,14.70197,,,0.011702,21.70814101,,
41:35.4,2.384806,intervention,1.384806,sustain low,0.3848057,0,36.3,0,30,14.83845,,,0.001838,18.26612655,,
41:35.4,2.386644,intervention,1.386644,sustain low,0.3866444,0,36.3,0,30,14.83845,,,0.048706,3.16038921,,
41:35.5,2.43535,intervention,1.43535,sustain low,0.4353504,0,36.3,0,30,14.83845,,,0.002707,18.76252644,,
41:35.5,2.438057,intervention,1.438057,sustain low,0.4380569,0,36.3,0,30,14.83845,,,0.001827,18.25966553,,
41:35.5,2.439884,intervention,1.439884,sustain low,0.4398842,0,36.3,0,30,14.83845,,,0.01206,21.72623297,,
41:35.5,2.451944,intervention,1.451944,sustain low,0.4519444,0,36.3,0,30,14.50667,,,0.001952,18.3328332,,
41:35.5,2.453896,intervention,1.453896,sustain low,0.4538956,0,36.3,0,30,14.50667,,,0.047638,3.537030236,,
41:35.5,2.501534,intervention,1.501534,sustain low,0.5015335,0,36.3,0,30,14.50667,,,0.002695,18.75586699,,
41:35.5,2.504229,intervention,1.504229,sustain low,0.5042286,0,36.3,0,30,14.50667,,,0.001859,18.27844935,,
41:35.5,2.506088,intervention,1.506088,sustain low,0.5060883,0,36.3,0,30,14.50667,,,0.011654,21.70508846,,
41:35.5,2.517742,intervention,1.517742,sustain low,0.5177422,0,36.3,0,30,15.1082,,,0.001906,18.30597222,,
41:35.5,2.519648,intervention,1.519648,sustain low,0.5196476,0,36.3,0,30,15.1082,,,0.049282,2.970010521,,
41:35.6,2.56893,intervention,1.56893,sustain low,0.5689297,0,36.3,0,30,15.1082,,,0.002691,18.75364591,,
41:35.6,2.571621,intervention,1.571621,sustain low,0.5716209,0,36.3,0,30,15.1082,,,0.001808,18.24849551,,
41:35.6,2.573429,intervention,1.573429,sustain low,0.5734291,0,36.3,0,30,15.1082,,,0.001906,18.30597222,,
41:35.6,2.575335,intervention,1.575335,sustain low,0.5753345,0,36.3,0,30,15.1082,,,0.01279,21.73752582,,
41:35.6,2.588125,intervention,1.588125,sustain low,0.5881252,0,36.3,0,30,14.82698,,,0.001887,18.29485542,,
41:35.6,2.590012,intervention,1.590012,sustain low,0.5900116,0,36.3,0,30,14.82698,,,0.045185,4.522519715,,
41:35.7,2.635197,intervention,1.635197,sustain low,0.6351967,0,36.3,0,30,14.82698,,,0.002618,18.71300131,,
41:35.7,2.637815,intervention,1.637815,sustain low,0.6378155,0,36.3,0,30,14.82698,,,0.001849,18.2725833,,
41:35.7,2.639664,intervention,1.639664,sustain low,0.6396637,0,36.3,0,30,14.82698,,,0.01246,21.73667918,,
41:35.7,2.652124,intervention,1.652124,sustain low,0.6521244,0,36.3,0,30,15.10405,,,0.001812,18.25084815,,
41:35.7,2.653936,intervention,1.653936,sustain low,0.6539364,0,36.3,0,30,15.10405,,,0.046309,4.049794358,,
